date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:35	272/272	---M--	200	added ('OK')	text/plain	etag:%22110-4a173d6173a00%22	https://inst.eecs.berkeley.edu/robots.txt		(from )
19:01:41	363588/363588	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Feb%202023%2011:01:08%20GMT	https://inst.eecs.berkeley.edu/~cs61a/fa20/	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/index.html	(from )
19:01:43	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14e4a%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js	E:/My%20Websites/cs61a/cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:44	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-90b5%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	E:/My%20Websites/cs61a/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:46	27787/27787	---M--	200	added ('OK')	application/javascript	etag:%226c8b-5b8418c6ea600%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/js/hl.js	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/js/hl.js	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:47	2957/2957	---M--	200	added ('OK')	application/javascript	etag:%22b8d-5b8418c6ea600%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/js/dark-mode.js	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/js/dark-mode.js	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:48	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-1d970%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	E:/My%20Websites/cs61a/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:48	11835/11835	---M--	200	added ('OK')	text/css	etag:%222e3b-5b8419208f980%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/css/style.css	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/css/style.css	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:48	965/965	---M--	200	added ('OK')	text/css	etag:%223c5-5b8419208f980%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/css/mono-blue.css	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/css/mono-blue.css	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:49	3828/3828	---M--	200	added ('OK')	image/png	etag:%22ef4-5b8418c6ea600%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/images/logo.png	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/images/logo.png	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:50	6813/6813	---M--	200	added ('OK')	text/html	etag:%221a9d-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/weekly.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/weekly.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:50	49630/49630	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22c1de-5b8418c6ea600%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/images/favicon.ico	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/images/favicon.ico	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:50	9715/9715	---M--	200	added ('OK')	text/html	etag:%2225f3-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/office-hours.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/office-hours.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:52	7381/7381	---M--	200	added ('OK')	text/html	etag:%221cd5-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/instructor.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/instructor.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:53	21368/21368	---M--	200	added ('OK')	text/html	etag:%225378-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/TAs.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/TAs.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:55	34265/34265	---M--	200	added ('OK')	text/html	etag:%2285d9-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/articles/about.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/articles/about.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:56	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Feb%202023%2011:01:29%20GMT	https://inst.eecs.berkeley.edu/~cs61a/fa20/proj/scheme_gallery	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/proj/scheme_gallery.10.delayed	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:57	23305/23305	---M--	200	added ('OK')	text/html	etag:%225b09-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/proj/scheme_gallery/	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/proj/scheme_gallery/index.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:01:57	112588/112588	---M--	200	added ('OK')	text/html	etag:%221b7cc-5c495d5b6797c%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/tutors.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/tutors.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:03	417611/417611	---M--	200	added ('OK')	text/html	etag:%2265f4b-5b8419358ab00%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/resources.html	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/resources.html	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:03	364828/364828	---M--	200	added ('OK')	application/pdf	etag:%225911c-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/36-Macros_8pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/36-Macros_8pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:05	423480/423480	---M--	200	added ('OK')	application/pdf	etag:%2267638-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/36-Macros_full.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/36-Macros_full.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:07	259847/259847	---M--	200	added ('OK')	application/pdf	etag:%223f707-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/37-Final_Examples_1pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/37-Final_Examples_1pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:09	358181/358181	---M--	200	added ('OK')	application/pdf	etag:%2257725-5b841925544c0%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/disc/disc14.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/disc/disc14.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:10	368261/368261	---M--	200	added ('OK')	application/pdf	etag:%2259e85-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/36-Macros_1pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/36-Macros_1pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:11	1135596/1135596	---M--	200	added ('OK')	application/pdf	etag:%221153ec-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/35-Tail_Calls_full.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/35-Tail_Calls_full.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:22	741150/741150	---M--	200	added ('OK')	application/pdf	etag:%22b4f1e-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/35-Tail_Calls_1pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/35-Tail_Calls_1pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:22	730103/730103	---M--	200	added ('OK')	application/pdf	etag:%22b23f7-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/35-Tail_Calls_8pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/35-Tail_Calls_8pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:30	247777/247777	---M--	200	added ('OK')	application/pdf	etag:%223c7e1-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/37-Final_Examples_8pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/37-Final_Examples_8pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:31	686470/686470	---M--	200	added ('OK')	application/pdf	etag:%22a7986-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/32-Tables_1pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/32-Tables_1pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:36	2344294/2344294	---M--	200	added ('OK')	application/pdf	etag:%2223c566-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/32-Tables_full.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/32-Tables_full.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:40	117460/117460	---M--	200	added ('OK')	application/pdf	etag:%221cad4-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/33-Aggregation_1pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/33-Aggregation_1pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:41	541998/541998	---M--	200	added ('OK')	application/pdf	etag:%228452e-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/33-Aggregation_full.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/33-Aggregation_full.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
19:02:42	111883/111883	---M--	200	added ('OK')	application/pdf	etag:%221b50b-5b8418c7de840%22	https://inst.eecs.berkeley.edu/~cs61a/fa20/assets/slides/33-Aggregation_8pp.pdf	E:/My%20Websites/cs61a/inst.eecs.berkeley.edu/_cs61a/fa20/assets/slides/33-Aggregation_8pp.pdf	(from https://inst.eecs.berkeley.edu/~cs61a/fa20/)
